ComponentEventTemplate	Label	Count
kernel MOSAL(1) : file_pgoff = 0x12616	-	1
kernel MOSAL(1) : file_pgoff = 0x9758	-	1
kernel MOSAL(1) : file_pgoff = 0x2d5a0	-	33
postfix/cleanup 032EEAC421B : message-id = <20060516041537.032EEAC421B@tbird-#2124#>	-	1
postfix/cleanup C9589864ABE : message-id = <20060629105743.C9589864ABE@#56#.#207#>	-	1
network Bringing up loopback interface : succeeded	-	4225
postfix/cleanup 95741F20126 : message-id = <20060426164602.95741F20126@#56#.#207#>	-	1
postfix/cleanup 93D6B5182A4 : message-id = <20051111054722.93D6B5182A4@tbird-#206#>	-	1
kernel MOSAL(1) : file_pgoff = 0x2d45d	-	14
kernel MOSAL(1) : file_pgoff = 0x18d32	-	1
kernel MOSAL(1) : file_pgoff = 0x8b7f	-	3
postfix/cleanup 4426EF20131 : message-id = <20060407022201.4426EF20131@#56#.#207#>	-	1
kernel MOSAL(1) : file_pgoff = 0xec37	-	1
postfix/cleanup 0FC6BF200A5 : message-id = <20060421011003.0FC6BF200A5@#56#.#207#>	-	1
postfix/cleanup 36CE7518252 : message-id = <20060201011714.36CE7518252@tbird-#206#>	-	1
kernel MOSAL(1) : file_pgoff = 0x593b	-	4
mice PS/2 mouse device common for all mice	-	3
kernel MOSAL(1) : file_pgoff = 0x131db	-	1
postfix/cleanup 1D2DDF20132 : message-id = <20060410014502.1D2DDF20132@#56#.#207#>	-	1
kernel MOSAL(1) : file_pgoff = 0x2d328	-	1
kernel MOSAL(1) : file_pgoff = 0x2d61d	-	2
kernel sda : asking for cache data failed	-	262
kernel MOSAL(1) : file_pgoff = 0x1d52b	-	11
dhcpd DHCPOFFER on <*> to <*> : <*> : <*> : <*> : <*> <*> <*> via eth1	-	1202
postfix/cleanup 730ADAC4073 : message-id = <20060420130615.730ADAC4073@tbird-#2124#>	-	1
kernel MOSAL(1) : file_pgoff = 0x8c98	-	1
kernel <ffffffff802a095f>{sock_sendmsg+271} <ffffffff801319f1>{try_to_wake_up+734}	-	1
dcdbas disagrees about version of symbol struct_module	-	8
kernel MOSAL(1) : file_pgoff = 0x10f9c	-	1
ib_sm [ib_sm_assign.c : 265] : Failed to initialize port - GUID = <*> : <*> : ad : <*> : <*> : <*> : <*> <*> <*> , port = <*>	-	6
sshd <*> : called to update credentials for <*>	-	415
kernel MOSAL(1) : file_pgoff = 0x2d615	-	6
kernel MOSAL(1) : mnt_projects/sysapps/src/ib/topspin/topspin-src-3.2.0-16/third_party/thca4_linux/kernel/mlxsys/obj_host_amd64_custom1_rhel4/mlxsys/mosal_mlock.c[1326] : priv_mosal_mlock : could not find mm = <*> (pid = <*> in the hash	-	1671
kernel MOSAL(1) : file_pgoff = 0x2d477	-	2
kernel MOSAL(1) : file_pgoff = 0x644a	-	1
kernel MOSAL(1) : file_pgoff = 0x12c8e	-	1
postfix/cleanup 4A2E2F2009F : message-id = <20060703231756.4A2E2F2009F@#56#.#207#>	-	1
postfix/cleanup 352425189A5 : message-id = <20060308110232.352425189A5@tbird-#206#>	-	1
crontab <*> <*> <*> <*>	-	30
postfix/cleanup D2C04F20126 : message-id = <20060406041902.D2C04F20126@#56#.#207#>	-	1
postfix/cleanup EFA9C518A40 : message-id = <20060404105140.EFA9C518A40@tbird-#206#>	-	1
kernel BIOS-e820 : <*> - 00000001a0000000 (usable)	-	1
postfix/cleanup 5DCCD864ABE : message-id = <20060414175746.5DCCD864ABE@#56#.#207#>	-	1
kernel <*> <*> <*> (v001 DELL PE BKC 0x00000001 MSFT <*> @ <*>	-	23386
postfix/cleanup E11F45181F5 : message-id = <20051110234430.E11F45181F5@tbird-#206#>	-	1
ib_mgr.x [INFO] : IB MGR started configuring SM (0xfe80000000000000)	-	58
kernel MOSAL(1) : file_pgoff = 0x1f799	-	2
postfix/cleanup C432F518C47 : message-id = <20060228000332.C432F518C47@tbird-#206#>	-	1
kernel <ffffffff802c9f4d>{tcp_sendmsg+363} <ffffffff802cb7a8>{tcp_recvmsg+1798}	-	9
kernel <*> : llite : <*> <*>	-	2
postfix/cleanup 35BE7F200E0 : message-id = <20060621211750.35BE7F200E0@#56#.#207#>	-	1
kernel MOSAL(1) : file_pgoff = 0x1100c	-	15
kernel MOSAL(1) : file_pgoff = 0x2d00e	-	20
postfix/cleanup 1E735518A31 : message-id = <20060331164002.1E735518A31@tbird-#206#>	-	1
date <*> <*> <*> <*>	-	4250
RT RT : : Handle = HASH(0x18ec9c0) couldn't execute the query 'INSERT INTO ET_Events (Type , Created , Asset_id , Description) VALUES (? , ? , ? , ?)' at /usr/lib/perl5/site_perl/5.8.5/DBIx/SearchBuilder/Handle.pm line <*> DBIx : : SearchBuilder : : Handle : : SimpleQuery('RT : : Handle = HASH(0x18ec9c0)' , 'INSERT INTO ET_Events (Type , Created , Asset_id , Description) ...' , <*> , ' <*> ' , <*> , 'sm <*> called at /usr/lib/perl5/site_perl/5.8.5/DBIx/SearchBuilder/Handle.pm line <*> DBIx : : SearchBuilder : : Handle : : Insert('RT : : Handle = HASH(0x18ec9c0)' , 'ET_Events' , 'Type' , <*> , 'Created' , ' <*> ' , 'Asset_id' , <*> , 'Description' , ...) called at /usr/lib/perl5/site_perl/5.8.5/DBIx/SearchBuilder/Handle/mysql.pm line <*> DBIx : : SearchBuilder : : Handle : : mysql : : Insert('RT : : Handle = HASH(0x18ec9c0)' , 'ET_Events' , 'Type' , <*> , 'Created' , ' <*> ' , 'Asset_id' , <*> , 'Description' , ...) called at /usr/lib/perl5/site_perl/5.8.5/DBIx/SearchBuilder/Record.pm line <*> DBIx : : SearchBuilder : : Record : : Create('RTx : : Eve	-	7
dcdbas BIOS Update phys addr : 323e00000	-	1
postfix/cleanup 92540AC4078 : message-id = <20060705175907.92540AC4078@tbird-#2124#>	-	1
postfix/cleanup 1C957AC4074 : message-id = <20060430172756.1C957AC4074@tbird-#2124#>	-	1
kernel MOSAL(1) : file_pgoff = 0xb1d8	-	4
kernel MOSAL(1) : file_pgoff = 0xde94	-	1
kernel MOSAL(1) : b_ehift = <*>	-	1
kernel fs_client_release : last call to write_page on object <*> failed with 0x1a30 (fs client : Interrupted system call) ; data #15# de dropped (line 638)	-	3
postfix/cleanup 44EF1F200A9 : message-id = <20060405223403.41994F20126@#56#.#207#>	-	1
ib_sm [ib_sm_bringup.c : 898] : Failed to bring port to ARMED for node = <*> : <*> : ad : <*> : <*> : <*> : 0b : 5c , port = <*> , state = <*> , hop_count = <*> , no response	-	2
postfix/cleanup EB097F20132 : message-id = <20060408141302.EB097F20132@#56#.#207#>	-	1
postfix/cleanup 3CBE3F20126 : message-id = <20060424135203.3CBE3F20126@#56#.#207#>	-	1
kernel MOSAL(1) : file_pgoff = 0x1a752	-	1
postfix/cleanup EE881518FDA : message-id = <20060228000407.EE881518FDA@tbird-#206#>	-	1
postfix/cleanup C09DF518C46 : message-id = <20060228000331.C09DF518C46@tbird-#206#>	-	1
UTC %RPM0-P : CP %CHMGR-5-RELOAD : User request to reload the chassis	-	1
ib_sm [ib_sm.c : 1074] : SM Key = <*>	-	1
kernel MOSAL(1) : file_pgoff = 0x2cf9f	-	1
ib_sm [ib_sm_bringup.c : 562] : Program port state , node = <*> : <*> : ad : <*> : <*> : <*> : <*> : <*> , port = <*> , current state <*> , neighbor node = <*> : <*> : ad : <*> : <*> : <*> : <*> : <*> , port = <*> , current state <*>	-	9334
kernel MOSAL(1) : file_pgoff = 0x166b4	-	4
postfix/cleanup EF029F20085 : message-id = <20060705090744.EF029F20085@#56#.#207#>	-	1
kernel MOSAL(1) : file_pgoff = 0x171a4	-	10
postfix/cleanup 95646F20099 : message-id = <20060419055502.95646F20099@#56#.#207#>	-	1
md autorun ...	-	3
kernel MOSAL(1) : file_pgoff = 0x5b5e	-	1
kernel MOSAL(1) : file_pgoff = 0x135d5	-	3
postfix/cleanup 135EEF2012E : message-id = <20060618105840.135EEF2012E@#56#.#207#>	-	1
scsi.agent processor at /devices/pci0000 : 00/0000 : <*> : 02.0/0000 : <*> : 00.0/0000 : <*> : 05.0/host0/target0 : <*> : 6/0 : <*> : <*> : <*>	-	473
chassis_mgr.x [INFO] : power-supply <*> is removed	-	4
moab INFO : new class <*> added	-	3
kernel <*> pages swap <*>	-	2707
kernel MOSAL(1) : file_pgoff = 0x11244	-	3
distccd cc <*> on localhost completed ok	-	8
kernel MOSAL(1) : file_pgoff = 0x2d4d1	-	7
kernel MOSAL(1) : file_pgoff = 0x2d6a1	-	4
kernel Linux NET4.0 for Linux 2.4	-	1
omsad32 tput :	-	17
kernel MOSAL(1) : file_pgoff = 0x1119e	-	1
kernel MOSAL(1) : file_pgoff = 0x11351	-	1
kernel MOSAL(1) : file_pgoff = 0x1f8f7	-	1
kernel THH(4) : mnt_prAGAIN	-	1
kernel MOSAL(1) : file_pgoff = 0x5d3e	-	4
sshd debug1 : channel <*> : free : server-session , nchannels <*>	-	1
chassis_mgr.x [INFO] : fan <*> is down	-	1
kernel MOSAL(1) : file_pgoff = 0x1144d	-	1
kernel MOSAL(1) : file_pgoff = 0x2d563	-	1
postfix/cleanup 41DFAF200A9 : message-id = <20060406033703.3E87AF20126@#56#.#207#>	-	1
kernel MOSAL(1) : file_pgoff = 0x72ff	-	1
postfix/cleanup 60CB4F200A8 : message-id = <20060706211747.60CB4F200A8@#56#.#207#>	-	1
postfix/cleanup 42A5FF200C6 : message-id = <20060312110202.42A5FF200C6@#56#.#207#>	-	1
kernel pan_ips : error -- cmd_destroy : destroying aborted (rc = 0x5 (Out of memory)) command <*> <*> : <*> : <*>	-	2
"sshd debug1 : PAM : initializing for "" #393# """	-	1
kernel <ffffffff802e8153>{inet_create+280} <B low : 8kB high : 12kB active : 0kB inactive : 0kB present : 16384kB pages_scanned : <*> all_unreclaimable? yes	-	1
kernel MOSAL(1) : file_pgoff = 0x1f26e	-	1
pam_limits process_limit : processing soft nofile <*> for DEFAULT	-	24
kernel MOSAL(1) : file_pgoff = 0x1a7ee	-	3
postfix/cleanup D62B3AC4074 : message-id = <20060417212529.D62B3AC4074@tbird-#2124#>	-	1
sshd debug1 : permanently_set_uid : 50823/50823	-	1
postfix/cleanup 09C04AC4078 : message-id = <20060706210629.09C04AC4078@tbird-#2124#>	-	1
kernel MOSAL(1) : file_pgoff = 0x2d623	-	1
kernel pan_sam : <*> : unable to report I/O error(s) to SM 0x020038da11df0002(SM) : 0x1072 (SM : object not found)	-	54
kernel MOSAL(1) : file_pgoff = 0x40691	-	1
kernel MOSAL(1) : file_pgoff = 0xcfb5	-	1
postfix/cleanup 4C132AC409F : message-id = <20060430172539.4C132AC409F@tbird-#2124#>	-	1
kernel MOSAL(1) : presto_dp_opt_t[13520] : mnt_projects/sysapps/src/ib/topspin/topspin-src-3.2.0-16/third_party/thca4_linux/kernel/mlxsys/obj_host_amd64_custom1_rhel4/mlxsys/mosal_iobuf.c : <*> : MOSAL) : map_list = 00000100a6a7d840	-	1
kernel MOSAL(1) : file_pgoff = 0x2d5a6	-	3
ib_sm.x [ib_sm_bringup.c : <*> : Skip node = <*> , port = <*> bringup because topology is stale , no response	-	12
postfix/cleanup 76481F200A2 : message-id = <20060617191256.76481F200A2@#56#.#207#>	-	1
kernel MOSAL(4) : mnt_projects/sysapps/src/ib/topspin/topspin-src-3.2.0-16/third_party/thca4_linux/kernel/mlxsys/obj_host_amd64_custom1_rhel4/mlxsys/mosal_mlock.c[1226] : MOSAL_mlock_iobuf : Failed (MT_EAGAIN) priv_mosal_mlock for addr = <*> : <*> : MOSAL_mlock_iobuf failed - MT_EAGAIN	-	2
postfix/cleanup 80CEE518A70 : message-id = <20060412185100.80CEE518A70@tbird-#206#>	-	1
kernel MOSAL(1) : file_pgoff = 0x11c64	-	2
kernel MOSAL(1) : file_pgoff = 0x2d606	-	3
kernel MOSAL(1) : mlocled (-253 : VAPI_EAGAIN)	-	1
postfix/cleanup F185EAC4078 : message-id = <20060601215514.F185EAC4078@tbird-#2124#>	-	1
kernel MOSAL(1) : file_pgoff = 0x1148e	-	6
kernel MOSAL(1) : file_pgoff = 0xc3a1	-	21
kernel MOSAL(1) : file_pgoff = 0x12a07	-	1
kernel <ffffffffa04dde88>{ : panfs : pan_rm_bindcache_bind_engine+136} k : <*> unstable : <*> free : <*> slab : <*> mapped : <*> pagetables : <*>	-	1
ntpd ntpd : unknown option -u	-	1
"gconfd (#2202#-583) Resolved address "" xml : readonly : <*> "" to a read-only configuration source at position <*>"	-	1
Node 0 Normal 508*4kB 130*8kB 23*16kB 1*32kB 0*64kB 0*128kB 0*256kB 0*512kB 0*1024kB 0*2048kB 0*4096kB = 3472kB	-	1
kernel MOSAL(1) : file_pgoff = 0x2d648	-	6
RT RT : : Handle = HASH(0x18ec9c0) couldn't execute the query 'INSERT INTO ET_Events (Type , Created , Asset_id , Description) VALUES (? , ? , ? , ?)' at /usr/lib/perl5/site_perl/5.8.5/DBIx/SearchBuilder/Handle.pm line <*> DBIx : : SearchBuilder : : Handle : : SimpleQuery('RT : : Handle = HASH(0x18ec9c0)' , 'INSERT INTO ET_Events (Type , Created , Asset_id , Description) ...' , <*> , ' <*> ' , <*> , 'sm <*> called at /usr/lib/perl5/site_perl/5.8.5/DBIx/SearchBuilder/Handle.pm line <*> DBIx : : SearchBuilder : : Handle : : Insert('RT : : Handle = HASH(0x18ec9c0)' , 'ET_Events' , 'Type' , <*> , 'Created' , ' <*> ' , 'Asset_id' , <*> , 'Description' , ...) called at /usr/lib/perl5/site_perl/5.8.5/DBIx/SearchBuilder/Handle/mysql.pm line <*> DBIx : : SearchBuilder : : Handle : : mysql : : Insert('RT : : Handle = HASH(0x18ec9c0)' , 'ET_Events' , 'Type' , <*> , 'Created' , ' <*> ' , 'Asset_id' , <*> , 'Description' , ...) called at /usr/lib/perl5/site_perl/5.8.5/DBIx/SearchBuilder/Record.pm line <*> DBIx : : SearchBuilder : : Record : : <*>	-	45
postfix/cleanup 1A6DDF200A9 : message-id = <20060422134507.1A6DDF200A9@#56#.#207#>	-	1
kernel MOSAL(1) : file_pgoff = 0x60a6	-	225
postfix/cleanup 54D06518217 : message-id = <20060111180251.54D06518217@tbird-#206#>	-	1
kernel MOSAL(1) : file_pgoff = 0x1a24d	-	1
postfix/cleanup 2C15A518EF6 : message-id = <20051113151511.2C15A518EF6@tbird-#206#>	-	1
kernel Swap cache : add <*> , delete <*> , find <*> , race <*>	-	2851
kernel MOSAL(1) : file_pgoff = 0x124c3	-	1
kernel MOSAL(1) : file_pgoff = 0x2d664	-	5
slot106:10.100.253.133 ibstatmon Ism : MAD Send Get Port Info Failed for : Leaf <*> (port <*>	-	2
pan_ips <*> <*> error -- cmd_destroy : destroying aborted (rc = 0x23a8 (pan_sock : broken pipe)) command <*> (0 : <*> : <*>	-	1
kernel MOSAL(1) : file_pgoff = 0xf4af	-	2
postfix/cleanup 940935180B3 : message-id = <20051121042841.940935180B3@tbird-#206#>	-	1
kernel THH(4) : mnt_projects/sysapps/src/ib/topspin/topspin-src-3.2.0-16/third_party/thca4_linux/kernel/mlxhh/thh/obj_host_amd64_custom1_rhel4/mod_thh/tptm.c[1264] : MOSAL_iobuf_register failed : va = <*> , size = 0x200000 (-4 : MT_ENORSC	-	1567
postfix/cleanup 849E0518072 : message-id = <20051122043041.805E2518073@tbird-#206#>	-	1
kernel shpchp : acpi_pciehprm : <*> OSHP fails = 0x5	-	186
postfix/cleanup F37EB518277 : message-id = <20060216172131.F37EB518277@tbird-#206#>	-	1
kernel MOSAL(1) : file_pgoff = 0xbd31	-	1
postfix/cleanup A20BEF200A8 : message-id = <20060711054255.A20BEF200A8@#56#.#207#>	-	1
kernel MOSAL(1) : file_pgoff = 0xf40b	-	1
postfix/cleanup 9DF6E5181D1 : message-id = <20060120125055.9DF6E5181D1@tbird-#206#>	-	1
kernel MOSAL(1) : file_pgoff = 0x2d63f	-	1
fsck [/sbin/fsck.ext3 (1) -- /boot]	-	2
kernel <*> <*> mounted filesystem with ordered data mode.	-	15271
kernel MOSAL(1) : file_pgoff = 0x1a3e0	-	1
kernel MOSAL(1) : file_pgoff = 0x11741	-	1
kernel MOSAL(1) : file_pgoff = 0x2d4a0	-	4
kernel MOSAL(1) : file_pgoff = 0x29f63	-	3
kernel BIOS-e820 : 00000002ffffe000 - <*> (reserved)	-	1
Vendor MegaRAID Model : LD <*> RAID1 139G Rev : 516A	-	3
kernel MOSAL(1) : file_pgoff = 0x15647	-	1
kernel MOSAL(1) : file_pgoff = 0x2d592	-	2
postfix/cleanup 46E92518A48 : message-id = <20060403202837.46E92518A48@tbird-#206#>	-	1
kernel MOSAL(1) : file_pgoff = 0x2d61a	-	2
kernel MOSAL(1) : file_pgoff = 0x14467	-	1
postfix/cleanup 3F9C4864ABE : message-id = <20060630202258.3F9C4864ABE@#56#.#207#>	-	1
sshd <*> : creating v5 ccache for <*>	-	386
postfix/cleanup EBD2AF2009C : message-id = <20060628032244.EBD2AF2009C@#56#.#207#>	-	1
ib_sm [ib_sm_discovery.c : 402] : Failed to get PORT GUID for CA = <*> : <*> : ad : <*> : <*> : <*> : <*> : <*> , port = <*> , no response	-	15
postfix/cleanup E77A5F200A6 : message-id = <20060706014245.E77A5F200A6@#56#.#207#>	-	1
kernel VFS : Busy inodes after unmount. Self-destruct in <*> seconds. Have a nice day...	-	2
postfix/cleanup A15DFAC4074 : message-id = <20060514230742.A15DFAC4074@tbird-#2124#>	-	1
chassis_mgr.x [CONF] : [super] : syslog-server <*>	-	21
pbs_mom System error : (15010) in <*> , abort attempted <*> times in job_start_error. ignoring abort request from node <*>	-	128
postfix/cleanup D97A9864ABE : message-id = <20060706180747.D97A9864ABE@#56#.#207#>	-	1
kernel lp : driver loaded but no devices found	-	2
pbs_mom System error : (15010) in <*> , job_start_error from node <*> in job_start_error	-	196
postfix/cleanup EBB8F518B5F : message-id = <20060228000313.EBB8F518B5F@tbird-#206#>	-	1
kernel VIPKL(1) : mnt_projects/sysapps/src/ib/topspin/topspin-src-3.2.0-16/third_party/thca4_linux mlock_ctx = <*>	-	1
kernel MOSAL(1) : file_pgoff = 0x15ad3	-	2
kernel MOSAL(1) : file_pgoff = 0x1e229	-	1
ib_sm [ib_sm_sweep.c : 1234] : No switch available	-	21
postfix/cleanup DB587F200A5 : message-id = <20060421015502.DB587F200A5@#56#.#207#>	-	1
postfix/cleanup 3F067F200AC : message-id = <20060326203006.3F067F200AC@#56#.#207#>	-	1
postfix/cleanup 0E9CAF20126 : message-id = <20060405001904.0E9CAF20126@#56#.#207#>	-	1
postfix/cleanup A582CF200A7 : message-id = <20060413182502.A582CF200A7@#56#.#207#>	-	1
postfix/cleanup 0F43BF20132 : message-id = <20060410104903.0F43BF20132@#56#.#207#>	-	1
postfix/cleanup F1610F200E0 : message-id = <20060710112243.F1610F200E0@#56#.#207#>	-	1
kernel <ffffffff8018c9e9>{do_select+749} <ffffffff8018c580>{__pollwait+0}	-	1
sshd debug2 : parse_server_config : config rexec len <*>	-	2
crond <*> : flag : user_check	-	3161
httpd httpd : Could not determine the server's fully qualified domain name , using <*> for ServerName	-	1
kernel MOSAL(1) : file_pgoff = 0x91f3	-	1
postfix/cleanup D5701F20097 : message-id = <20060621190310.D5701F20097@#56#.#207#>	-	1
postfix/cleanup 93CFEF200A6 : message-id = <20060705105246.93CFEF200A6@#56#.#207#>	-	1
kernel MOSAL(1) : file_pgoff = 0x1be66	-	7
kernel ....... : Boot DT : <*>	-	1
kernel MOSAL(1) : file_pgoff = 0x1a3bc	-	1
kernel MOSAL(1) : file_pgoff = 0x85e4	-	1
kernel VIPKL(1) : mnt_projects/sysapps/src/ib/topspin/topspin-src-3.2.0-16/third_party/thca4_linux/kernel/vip/obj_host_amd64_custom1_rhel4/mod_vip/mmu.c[243] : makeD6000size = 0x1C000	-	1
kernel MOSAL(1) : file_pgoff = 0xfd00	-	3
sudo <*> : called to authenticate <*>	-	2
kernel MOSAL(1) : file_pgoff = 0xf004	-	1
kernel MOSAL(1) : file_pgoff = 0x7379	-	1
postfix/cleanup 5C5BA518D4A : message-id = <20060331065556.5C5BA518D4A@tbird-#206#>	-	1
kernel MOSAL(1) : file_pgoff = 0x2d595	-	5
postfix warning : My hostname <*> is not a fully qualified name - set myhostname or mydomain in /etc/postfix/main.cf	-	1
kernel MOSAL(1) : file_pgoff = 0x1aa09	-	1
kernel MOSAL(1) : file_pgoff = 0x190ba	-	2
kernel MOSAL(1) : file_pgoff = 0x2d58a	-	1
pbs_mom Broken pipe (32) in tm_request , comm failed No error	-	45
Server Administrator Instrumentation Service EventID : <*> Log size is near or at capacity Log type : ESM	-	3
postfix/cleanup 1EB93518AFF : message-id = <20060505230049.1EB93518AFF@tbird-#206#>	-	1
postfix/cleanup 7AB87F20097 : message-id = <20060701201246.7AB87F20097@#56#.#207#>	-	1
postfix/cleanup 63D65F200A7 : message-id = <20060414142202.63D65F200A7@#56#.#207#>	-	1
kernel LustreError : <*> : <*> : (client.c : <*> : ptlrpc_check_reply()) @@@ RESEND : <*> <*> <*> <*> <*> : <*> lens <*> ref <*> fl Rpc : <*> rc -11/0	-	34
postfix/cleanup CFA05AC4074 : message-id = <20060512201712.CFA05AC4074@tbird-#2124#>	-	1
kernel MOSAL(1) : file_pgoff = 0x29f61	-	221
kernel MOSAL(1) : file_pgoff = 0x710c	-	5
postfix/cleanup 6AA63F200A9 : message-id = <20060417163104.6AA63F200A9@#56#.#207#>	-	1
nfsd <*> <*> <*>	-	2
kernel THH(1) : <*> <*> <*> <*>	-	28
postfix/cleanup B61F05189FC : message-id = <20051112104509.B61F05189FC@tbird-#206#>	-	1
postfix/cleanup 7A874F200AB : message-id = <20060329021003.7A874F200AB@#56#.#207#>	-	1
kernel MOSAL(1) : file_pgoff = 0x305f3	-	1
postfix/cleanup 8AF385181D1 : message-id = <20060120153818.8AF385181D1@tbird-#206#>	-	1
kernel MOSAL(1) : file_pgoff = 0xcc90	-	2
kernel MOSAL(1) : file_pgoff = 0x13e5e	-	1
postfix/cleanup 6C43FAC4073 : message-id = <20060403140246.6C43FAC4073@tbird-#2124#>	-	1
kernel UDP : short packet : From <*> <*> to #112# : <*>	-	175
postfix/cleanup 504B8F2009C : message-id = <20060707121800.504B8F2009C@#56#.#207#>	-	1
PBS_Server pbsd_init , Recover of job 84448.tbird.JB failed	-	1
kernel MOSAL(1) : file_pgoff = 0xc6eb	-	1
postfix/cleanup 514C8518205 : message-id = <20060127185113.514C8518205@tbird-#206#>	-	1
kernel MOSAL(1) : file_pgoff = 0x8319	-	3
kernel MOSAL(1) : file_pgoff = 0x15882	-	20
dhcpd DHCPDISCOVER from <*> : <*> : <*> : <*> : <*> <*> fe via eth1 : network <*> : no free leases	-	86
kernel <ffffffff80168589>{mlock_fixup+161} <ffffffff8016860d>{do_mlock+99}	-	2
kernel <ffffffff8015fa23>{kmem_cache_alloc+90} <ffffffff802a2e36>{sk_alloc+38}	-	1377
postfix/cleanup B4DAC5189DA : message-id = <20060317164045.B4DAC5189DA@tbird-#206#>	-	1
omsad32 invcol Error : Cannot create directory /tmp/1918_17958. Please ensure there	-	1
Server Administrator Instrumentation Service EventID : <*> Voltage sensor detected a failure value Sensor location : BMC 1.5V PG Chassis location : Main System Chassis Previous state was : Unknown Discrete voltage state : Bad	-	1
crond (root) CMD (/home/#57#/GetVolts.sh a)	-	1
postfix/cleanup 552F2AC4078 : message-id = <20060425221120.552F2AC4078@tbird-#2124#>	-	1
kernel MOSAL(1) : file_pgoff = 0x1253a	-	1
postfix/cleanup 7C97D518280 : message-id = <20051111054721.7C97D518280@tbird-#206#>	-	1
kernel MOSAL(1) : file_pgoff = 0x142b2	-	30
kernel MOSAL(1) : file_pgoff = 0x1a7cb	-	1
kernel MOSAL(1) : file_pgoff = 0x16ef1	-	1
pan_ips <*> <*> error -- cmd_destroy : invoking callback on aborted (rc = 0x1d7e (IPS : session got unknown error callback)) command <*>	-	1
postfix/cleanup CE10A518AAB : message-id = <20060331065520.CE10A518AAB@tbird-#206#>	-	1
postfix/cleanup 08954F20126 : message-id = <20060426051303.08954F20126@#56#.#207#>	-	1
kernel MOSAL(1) : file_pgoff = 0x1f3bf	-	78
su <*> : flag : no <*>	-	1538
kernel MOSAL(1) : file_pgoff = 0x17443	-	10
kernel 00000000fffffff5 00000101ad0f1030	-	1
kernel MOSAL(1) : file_pgoff = 0xcb09	-	15
UTC <*> : CP %SEC-5-LOGOUT : Exec session is terminated for user admin on line <*> <*> <*> <*>	-	6
kernel <ffffffff8015c6b3>{__get_free_pages+11} <ffffffff8015f550>{kmem_getpages+36}	-	172
kernel MOSAL(1) : file_pgoff = 0x2d60b	-	2
kernel MOSAL(1) : file_pgoff = 0xa547	-	38
kernel protections[] : <*> <*> <*>	-	8665
ib_sm [ib_sm_routing.c : 3678] : Program switch <*> : <*> : 6a : <*> : <*> : <*> : <*> : <*> LFT OK	-	164
kernel snmpd S 000000000000000b <*> <*> <*> <*> <*> (NOTLB)	-	1
kernel MOSAL(1) : file_pgoff = 0x2d554	-	4
kernel MOSAL(1) : file_pgoff = 0xb723	-	1
postfix/cleanup CD448F200A1 : message-id = <20060402214504.CD448F200A1@#56#.#207#>	-	1
postfix/cleanup 1C367AC4074 : message-id = <20060410185627.1C367AC4074@tbird-#2124#>	-	1
postfix/cleanup C67D2F20133 : message-id = <20060626113248.C67D2F20133@#56#.#207#>	-	1
moab INFO : opened service socket on port <*>	-	1
postfix/cleanup A3887D6537 : message-id = <20060119110206.A3887D6537@#1474#>	-	1
ib_sm [ib_sm_sweep.c : 144] : A new IB node <*> : <*> : 6a : <*> : <*> : <*> : <*> : fa was discovered and assigned LID <*>	-	3
postfix/cleanup E9940F200A9 : message-id = <20060530185249.E9940F200A9@#56#.#207#>	-	1
-- root <*> : flags : forwardable not proxiable	-	1
MDT <*> : CP %SEC-5-LOGOUT : Exec session is terminated for user admin on line <*> <*> <*> <*>	-	408
kernel MOSAL(1) : file_pgoff = 0x15a9e	-	1
MDT %RPM0-P : CP %SYS-5-CONFIG_I : Configured from console by vty0 ( <*> )	-	1
kernel 00001018e14a780 :	-	1
kernel pan_sam : <*> : unable to report I/O error(s) to SM 0x020038da11df0002(SM) : 0x1069 (SM : unspecified internal error)	-	4
modprobe WARNING : Error running install command for <*>	-	422
postfix/cleanup 15EFC5187B4 : message-id = <20051112011512.15EFC5187B4@tbird-#206#>	-	1
kernel MOSAL(1) : file_pgoff = 0xe1fa	-	3
sshd Failed password for <*> from <*> port <*> ssh2	-	2
kernel MOSAL(1) : file_pgoff = 0x11074	-	2
kernel MOSAL(1) : file_pgoff = 0x16729	-	2
kernel MOSAL(1) : file_pgoff = 0xc008	-	9
postfix/cleanup 5B05E518AC9 : message-id = <20060331065341.5B05E518AC9@tbird-#206#>	-	1
kernel <*> : <*> <*> e1000_probe : Intel(R) PRO/1000 Network Connection	-	8209
mount debug : could not init rm_client : 0x5 (Out of memory)	-	3185
kernel Node <*> <4>diff : page allocation failure. order : <*> , mode : 0x50	-	1
kernel <*> : 132]Couldn't find a suitable network device ; setting lid_base to <*>	-	3062
kernel MOSAL(1) : file_pgoff = 0x13ae7	-	1
kernel MOSAL(1) : file_pgoff = 0x1f6a3	-	1
postfix/cleanup 8BF60F2012C : message-id = <20060615222252.8BF60F2012C@#56#.#207#>	-	1
kernel MOSAL(1) : file_pgoff = 0x10e22	-	2
kernel MOSAL(1) : file_pgoff = 0xce44	-	1
postfix/cleanup D3E24864ABE : message-id = <20060418183703.D3E24864ABE@#56#.#207#>	-	1
kernel MOSAL(1) : va = <*> : make_iobuf : MOSAL_iobuf_register failed : va = <*> = <*>	-	4
postfix/cleanup DF810F20132 : message-id = <20060428144640.DF810F20132@#56#.#207#>	-	1
