ComponentEventTemplate	Label	Count
kernel MOSAL(1) : file_pgoff = 0x11462	-	1
Inode-cache hash table entries <*> (order : <*> , <*> bytes)	-	2
postfix/cleanup E848EF20131 : message-id = <20060406174514.E848EF20131@#56#.#207#>	-	1
kernel MOSAL(1) : file_pgoff = 0x1d073	-	1
kernel MOSAL(1) : file_pgoff = 0x2d5a7	-	11
postfix/cleanup B9140518FB0 : message-id = <20051113184505.B9140518FB0@tbird-#206#>	-	1
crond (CRON) STAT FAILED (/etc/cron.d)	-	3
postfix/cleanup C6429AC4113 : message-id = <20060516041522.C6429AC4113@tbird-#2124#>	-	1
kernel MOSAL(1) : file_pgoff = 0x1cc67	-	1
postfix/cleanup 9C28BF20131 : message-id = <20060406142203.9C28BF20131@#56#.#207#>	-	1
postfix/cleanup 14811AC4092 : message-id = <20060502191929.14811AC4092@tbird-#2124#>	-	1
postfix/cleanup B0292F20131 : message-id = <20060626170254.B0292F20131@#56#.#207#>	-	1
postfix/cleanup 47606518A2B : message-id = <20060331065256.47606518A2B@tbird-#206#>	-	1
postfix/cleanup E68CAF2012E : message-id = <20060623001817.E68CAF2012E@#56#.#207#>	-	1
login <*> : configured realm '#24#'	-	1
kernel MOSAL(1) : file_pgoff = 0x12ff9	-	1
kernel MOSAL(1) : file_pgoff = 0xd629	-	1
kernel MOSAL(1) : file_pgoff = 0x112be	-	2
ib_sm [ib_sm_sweep.c : 144] : A new IB node <*> : <*> : 6a : <*> : <*> : <*> : <*> : ab was discovered and assigned LID <*>	-	2
sshd <*> : pid <*> <*>	-	1
kernel <*> <*> <*> : <*> EFLAGS : <*>	-	1
kernel MOSAL(1) : file_pgoff = 0x12e16	-	1
postfix/cleanup 4BD7AF200A7 : message-id = <20060414134304.4BD7AF200A7@#56#.#207#>	-	1
postfix/cleanup 88586F2009C : message-id = <20060708045752.88586F2009C@#56#.#207#>	-	1
postfix/cleanup D9404F200A3 : message-id = <20060623235756.D9404F200A3@#56#.#207#>	-	1
kernel 00000101a610be88 <*> <*> ffffffffa0e53390	-	1
kernel MOSAL(1) : file_pgoff = 0x97a3	-	1847
kernel MOSAL(1) : file_pgoff = 0xcbfa	-	2
kernel MOSAL(1) : file_pgoff = 0x166a1	-	1
kernel MOSAL(1) : file_pgoff = 0xe956	-	1
kernel MOSAL(1) : next <*> <*> <*> : <*> <*> <*> <*> : <*>	-	2
postfix/cleanup 333345181D1 : message-id = <20060120213043.333345181D1@tbird-#206#>	-	1
kernel LustreError : <*> <*> <*> <*> <*> <*> <*> <*> <*> Skipped <*> previous similar message	-	14
ib_sm [ib_sm_sweep.c : 449] : Failed to get PortInfo from IB node <*> : <*> : ad : <*> : <*> : <*> : <*> : <*> port <*>	-	246
kernel <*> <*> <*> <*> <*> for addr = <*> size = <*>	-	15
kernel MOSAL(1) : file_pgoff = 0xb55e	-	1
rz [#2761#] junk/ZMODEM : error : closeit return <>0	-	1
kernel fs_client : end_write_length > pannode->attribs.cached_length (349100 > 331172)	-	1
kernel <fffffatch <*>	-	1
sshd Local disconnected : Connection closed by remote host.	-	4
postfix/cleanup AEAC8518CA7 : message-id = <20060228000338.AEAC8518CA7@tbird-#206#>	-	1
time.c <*> <*> Using 14.318180 MHz HPET timer.	-	1
postfix/cleanup 24740AC4078 : message-id = <20060516041911.24740AC4078@tbird-#2124#>	-	1
postfix/cleanup AF950518DED : message-id = <20060228000357.AF950518DED@tbird-#206#>	-	1
kernel MOSAL(1) : file_pgoff = 0xebcd	-	5
firstboot <*>	-	1
kernel MOSAL(1) : file_pgoff = 0x14ca6	-	2
kernel Mem-info :	-	2822
kernel MOSAL(1) : file_pgoff = 0x1a695	-	1
mount.panfs pan_kernel : expected release : <*> release is : <*> <*> <*>	-	331
postfix/cleanup 7594FF2009E : message-id = <20060419190256.7594FF2009E@#56#.#207#>	-	1
kernel MOSAL(1) : file_pgoff = 0x1f38c	-	2
postfix/cleanup F2843864ABE : message-id = <20060414185803.F2843864ABE@#56#.#207#>	-	1
LustreError <*> <*> <*> <*> <*> <*> <*> <*> <*> Skipped <*> previous similar message	-	2
ib_sm [ib_sm_discovery.c : 1256] : Found existing neighbor <*> : <*> : ad : <*> : <*> : <*> : <*> <*> <*> , port = <*>	-	43868
kernel MOSAL(1) : file_pgoff = 0xa0e4	-	5
kernel time.c : Lost <*> timer tic	-	1
postfix/cleanup 59F00864ABE : message-id = <20060412201605.59F00864ABE@#56#.#207#>	-	1
ib_sm [ib_sm_sweep.c : <*> : No switch available	-	20
kernel cpu <*> coldhigh <*> , batch <*>	-	1
kernel MOSAL(1) : file_pgoff = 0x15e1b	-	1
kernel MOSAL(1) : file_pgoff = 0x1e240	-	2
postfix/cleanup EEF50F200A8 : message-id = <20060404151521.E90EFF20126@#56#.#207#>	-	1
postfix/cleanup 9A8B7F200E0 : message-id = <20060621192258.9A8B7F200E0@#56#.#207#>	-	1
kernel MOSAL(1) : file_pgoff = 0x1d4ee	-	1
sh *** glibc detected *** realloc() : invalid next size : 0x00000000006bd080 ***	-	1
kernel MOSAL(1) : file_pgoff = 0x9f73	-	4
kernel MOSAL(1) : file_pgoff = 0x1ae1f	-	1
kernel MOSAL(1) : file_pgoff = 0xaa61	-	2
postfix/cleanup A4A75780059 : message-id = <20060125110256.A4A75780059@#819#>	-	1
crond (root) CMD (/home/#210#/BACKUPS/BACKUP_TBIRD_DIRECTOR_SCRIPT )	-	1
kernel MOSAL(1) : file_pgoff = 0xdef9	-	38
postfix/cleanup 025BF5189C5 : message-id = <20060222234342.025BF5189C5@tbird-#206#>	-	1
postfix/cleanup 84009F2009E : message-id = <20060419224247.84009F2009E@#56#.#207#>	-	1
kernel LustreError : <*> : <*> : (client.c : <*> : ptlrpc_import_delay_req()) @@@ IMP_INVALID <*> <*> <*> : <*> lens <*> ref <*> fl Rpc : <*> rc 0/0	-	39
kernel MOSAL(1) : file_pgoff = 0x11b0e	-	1
postfix/cleanup 2C92AAC41E8 : message-id = <20060516041534.2C92AAC41E8@tbird-#2124#>	-	1
kernel MOSAL(1) : file_pgoff = 0x11916	-	1
postfix/cleanup DB18FF200A9 : message-id = <20060405094524.D7954F20126@#56#.#207#>	-	1
kernel MOSAL(1) : file_pgoff = 0xb554	-	1
sshd Password authentication for user <*> accepted.	-	231
"RT Can't call method "" Id "" on an undefined value at RAS/Asset/AT.pm line 299. (/opt/rt3/lib/RT.pm : 295)"	-	1
kernel MOSAL(1) : file_pgoff = 0x2d02f	-	2
kernel MOSAL(1) : file_pgoff = 0x2d4a3	-	5
postfix/cleanup E2755F200A2 : message-id = <20060707150249.E2755F200A2@#56#.#207#>	-	1
dhcpd DHCPDISCOVER from <*> : <*> : <*> : <*> <*> <*> <*> da via eth1 : network <*> : no free leases	-	1431
kernel ....... : Delivery Type : <*>	-	2
ib_sm [INFO] : Generate SM <*> trap for GID = fe : <*> : <*> : <*> : <*> : <*> : <*> : <*> : <*> : <*> : ad : <*> : <*> : <*> : <*> <*> <*>	-	14335
"gconfd (root-29915) Resolved address "" xml : readonly : <*> "" to a read-only configuration source at position <*>"	-	1
kernel MOSAL(1) : file_pgoff = 0x2d6a9	-	1
postfix/cleanup 77CF9518072 : message-id = <20051109231513.77CF9518072@tbird-#206#>	-	1
kernel MOSAL(1) : file_pgoff = 0xcb99	-	1
kernel Free pages : <*> <*> <*>	-	3012
postfix/cleanup B9429F200A6 : message-id = <20060704095743.B9429F200A6@#56#.#207#>	-	1
time.c <*> <*> Lost <*> timer <*> rip <*>	-	121077
postfix/cleanup AA0E2F200A2 : message-id = <20060629050245.AA0E2F200A2@#56#.#207#>	-	1
postfix/cleanup 35704F200A8 : message-id = <20060709072406.35704F200A8@#56#.#207#>	-	1
kernel LustreError : Unexpected error <*> connecting to host <*> on port <*>	-	849
kernel MOSAL(1) : file_pgoff = 0x11bf6	-	1
kernel MOSAL(4) : mnt_projects/sysapps/src/ib/topspin/topspin-src-3.2.0-16/third_party/thca4_linux/kernel/mlxsys/obj_host_amd64_custom1_rhel4/mlxsys/mosal_mlock.c[290] : unlock_it : unknoat 000001017f978880 :	-	1
postfix/cleanup D7B92AC40B4 : message-id = <20060502160623.D7B92AC40B4@tbird-#2124#>	-	1
kernel VIPKL(1) : mnt_projects/sysapps/src/ib/topspin/topspin-src-3.2.0-16/third_party/thca4_linux/kernel/vip/obj_host_amd64_custom1_rhel4/mod_vip/mmu.c[243] : make_iobuf : MOSAL_iobuf_r0000000000000000	-	1
postfix/cleanup 45B28F200A1 : message-id = <20060412142203.45B28F200A1@#56#.#207#>	-	1
kernel MOSAL(1) : file_pgoff = 0x1d730	-	1
postfix/cleanup 1DC73518A1D : message-id = <20060328200321.1DC73518A1D@tbird-#206#>	-	1
kernel MOSAL(1) : file_pgoff = 0x134d0	-	1
kernel MOSAL(1) : mlock_ctx = 00000d = <*>	-	1
kernel MOSAL(1) : file_pgoff = 0x2d32f	-	1
kernel MOSAL(1) : file_pgoff = 0xc799	-	10
kernel MOSAL(1) : file_pgoff = 0xcea4	-	4
kernel <*> : <*> port <*>	-	7341
kernel <*> pages swap cache0 cold : low <*> , high <*> , batch <*>	-	1
postfix/cleanup 538FDF200E0 : message-id = <20060710072852.538FDF200E0@#56#.#207#>	-	1
kernel MOSAL(1) : file_pgoff = 0x174b5	-	2
postfix/cleanup 3662AF20132 : message-id = <20060408080703.3662AF20132@#56#.#207#>	-	1
ib_sm [ib_sm_sweep.c : 1841] : master not active , retries exceeded , retry count <*> , max retries <*>	-	11
kernel MOSAL(1) : file_pgoff = 0x2d61d	-	2
dhcpd DHCPREQUEST for <*> ( <*> ) from <*> : <*> : <*> : e4 : ba : fa via eth1 : unknown lease <*> .	-	2
postfix/cleanup A4E42F200A2 : message-id = <20060628130250.A4E42F200A2@#56#.#207#>	-	1
RT Warning! Custom Field does not exist for asset <*> : Vendor (RAS.pm : 447)	-	268
postfix/cleanup B9217518448 : message-id = <20051111074511.B9217518448@tbird-#206#>	-	1
postfix/cleanup 681A8864ABF : message-id = <20060415025249.681A8864ABF@#56#.#207#>	-	1
postfix/cleanup B1D29F200E0 : message-id = <20060710183047.B1D29F200E0@#56#.#207#>	-	1
postfix/cleanup 7F75FF20126 : message-id = <20060406003402.7F75FF20126@#56#.#207#>	-	1
kernel MOSAL(1) : file_pgoff = 0x16ef2	-	4
slot101:10.100.253.146 cme Osa : MAX7311 : getPortValue failed port = <*> location = <*> ra = <*>	-	1
kernel MOSAL(1) : file_pgoff = 0x1057c	-	1
fsck [/sbin/fsck.ext3 (1) -- /tmp] fsck.ext3	-	1
postfix/cleanup 49A7FAC4086 : message-id = <20060408001641.49A7FAC4086@tbird-#2124#>	-	1
dhclient DHCPDISCOVER on <*> to #342# port <*> interval <*>	-	295
kernel MOSAL(1) : file_pgoff = 0x986c	-	43
postfix/cleanup C2A5FF20133 : message-id = <20060628091752.C2A5FF20133@#56#.#207#>	-	1
kernel 00000101bf20e030 <*> 000001000725d840 00000001a06f54e8	-	1
postfix/cleanup 880A7F2012E : message-id = <20060624113248.880A7F2012E@#56#.#207#>	-	1
kernel MOSAL(1) : mnt_projects/sysapps/src/ib/topspin/topspin-src-3.2.0-16/third_party/thca4_li : page_shift = <*>	-	1
kernel MOSAL(1) : file_pgoff = 0x113af	-	1
kernel MOSAL(1) : file_pgoff = 0xf94f	-	15
kernel md : md driver 0.90.0 MAX_MD_DEVS = <*> , MD_SB_DISKS = <*>	-	4305
chsh <*> : creating v5 ccache for <*>	-	1
postfix/cleanup A39E85181D1 : message-id = <20060120154256.A39E85181D1@tbird-#206#>	-	1
postfix/cleanup <*> : message-id = <20051112024507.65119518821@tbird-#206#>	-	1
kernel MOSAL(1) : <*> <*> <*> addr = <*> size = <*>	-	2
postfix/cleanup A11DC518D47 : message-id = <20060626234633.A11DC518D47@tbird-#206#>	-	1
kernel MOSAL(1) : file_pgoff = 0x920e	-	2
postfix/cleanup 6D46BF200A0 : message-id = <20060411175503.6D46BF200A0@#56#.#207#>	-	1
su <*> : renewable lifetime : <*>	-	777
kernel <*> <*> deleting unreferenced inode <*>	-	6757
sshd <*> key generation succeeded	-	908
kernel MOSAL(1) : file_pgoff = 0x1077c	-	1
ib_sm [ib_sm_discovery.c : <*> : switch lid change , node - GUID = <*> , port = <*> , neighbor (nil) , changing lid from <*> , back to original <*>	-	103
postfix/cleanup A998D5189E8 : message-id = <20060317164043.A998D5189E8@tbird-#206#>	-	1
postfix/cleanup E5A33F200A8 : message-id = <20060405005802.E202AF20126@#56#.#207#>	-	1
ib_sm.x [ib_sm_routing.c : <*> : Failed to set LFT to switch = <*>	-	1346
sshd <*> : destroyed v5 ticket file for <*>	-	838
dhcpd DHCPREQUEST for <*> ( <*> ) from <*> : <*> : <*> : e4 : ab : ae via eth1 : unknown lease <*> .	-	4
ib_mgr.x [INFO] : IB MGR sent start sweep command to SM (0xfe80000000000000)	-	64
kernel MOSAL(1) : file_pgoff = 0x1bdbb	-	1
kernel pan_ips : error -- nexus write callback enable , failed setting write callback , 0x23a6 (pan_sock : socket has hung up)	-	9
kernel MOSAL(1) : file_pgoff = 0x1db2f	-	8
kernel MOSAL(1) : file_pgoff = 0x2d39d	-	15
kernel MOSAL(1) : file_pgoff = 0x2d589	-	1
kernel MOSAL(1) : file_pgoff = 0x81a2	-	1
postfix/cleanup C5F4BF200A8 : message-id = <20060710100302.C5F4BF200A8@#56#.#207#>	-	1
postfix/cleanup 82F23F200A2 : message-id = <20060619015259.82F23F200A2@#56#.#207#>	-	1
postfix/cleanup 482DCAC4088 : message-id = <20060503213923.482DCAC4088@tbird-#2124#>	-	1
postfix/cleanup 769EDF20134 : message-id = <20060331234505.769EDF20134@#56#.#207#>	-	1
postfix/cleanup 8CB82518B32 : message-id = <20051112161507.8CB82518B32@tbird-#206#>	-	1
postfix/cleanup 9EA8CF20099 : message-id = <20060702105420.9EA8CF20099@#56#.#207#>	-	1
kernel MOSAL(1) : file_pgoff = 0x2cfed	-	2
kernel blk : queue f7343c18 , I/O limit 4294967295Mb (mask 0xffffffffffffffff)	-	1
postfix/cleanup 580CEF2012E : message-id = <20060620092746.580CEF2012E@#56#.#207#>	-	1
postfix/cleanup D9617518E5F : message-id = <20060228000400.D9617518E5F@tbird-#206#>	-	1
kernel MOSAL(1) : file_pgoff = 0x2d15f	-	1
fsck <*> <*> <*>	-	2246
kernel MOSAL(1) : file_pgoff = 0x14342	-	1
postfix/cleanup 74F4F864ABE : message-id = <20060418114003.74F4F864ABE@#56#.#207#>	-	1
kernel MOSAL(1) : file_pgoff = 0x1d6e2	-	3
ib_sm [ib_sm_discovery.c : 752] : switch lid change , node - GUID = <*> : <*> : 6a : <*> : <*> : <*> : <*> : ca , port = <*> , neighbor (nil) , changing lid from <*> , back to original <*>	-	1
kernel MOSAL(1) : file_pgoff = 0x2d37d	-	1
kernel MOSAL(1) : file_pgoff = 0x1f2cc	-	2
EXT3-fs <*> <*> recovery complete.	-	2
kernel MOSAL(1) : file_pgoff = 0x5543	-	1
Lustre <*> : <*> : (linux-debug.c : <*> : libcfs_run_upcall()) Invoked portals upcall /usr/lib/lustre/lnet_upcall ROUTER_NOTIFY , <*> @tcp , down , <*>	-	1
postfix/cleanup 2842FF20131 : message-id = <20060407150701.2842FF20131@#56#.#207#>	-	1
kernel MOSAL(1) : file_pgoff = 0x1146f	-	1
postfix/cleanup 8E577518AE1 : message-id = <20060228000256.8E577518AE1@tbird-#206#>	-	1
kernel ts_ib_complet S <*> <*> <*> <*> <*> <*> (L-TLB)	-	2
kernel MOSAL(1) : file_pgoff = 0xf4d8	-	1
SCSI device sda <*> 512-byte hdwr sectors <*> MB)	-	8
kernel MOSAL(1) : file_pgoff = 0x10e61	-	1
kernel MOSAL(1) : file_pgoff = 0x1cb60	-	1
postfix/cleanup 1759FF200A9 : message-id = <20060416144003.1759FF200A9@#56#.#207#>	-	1
kernel MOSAL(1) : file_pgoff = 0x1148e	-	5
crond (root) CMD (/usr/local/system/bin/airs.pl >> /usr/local/system/bin/airs.log 2>&1)	-	9
kernel MOSAL(1) : file_pgoff = 0xe2fb	-	3
kernel MOSAL(1) : file_pgoff = 0xa883	-	17
kernel MOSAL(1) : file_pgoff = 0x2d5be	-	1
kernel MOSAL(1) : file_pgoff = 0x86a3	-	1
kernel MOSAL(1) : file_pgoff = 0x1e2a4	-	1
postfix/cleanup 366C1F200A8 : message-id = <20060710185748.366C1F200A8@#56#.#207#>	-	1
kernel <ffffffff8015fa23>{kmem_cache_alloc+90} <ffffffff86kB 0*32kB 0*64kB 0*128kB 0*256kB 0*512kB 0*1024kB 0*2048kB 0*4096kB = 150192kB	-	1
sshd2 Now running on <*> privileges.	-	77341
kernel <ffffffffa0142181>{ : mod_vip : vipkl_wrap_kernel_ioctl+465}	-	2
kernel MOSAL(1) : file_pgoff = 0xab3a	-	1
network Bringing up interface ib0 : failed	-	225
kernel kpanfs_thpool S 00000101b9af9e98 <*> <*> <*> <*> <*> (L-TLB)	-	1
kernel MOSAL(1) : file_pgoff = 0x14163	-	2
postfix/cleanup 85C18F20132 : message-id = <20060409021005.85C18F20132@#56#.#207#>	-	1
kernel MOSAL(1) : file_pgoff = 0x2d51b	-	3
CROND (root) CMD (/usr/lib/sa/sa2 -A)	-	15
ib_sm.x [ib_sm_discovery.c : 397] : Failed to get PORT GUID for CA = <*> , port = <*> , no response	-	4
BIOS-e820 00000000ffb00000 - <*> (reserved)	-	1
ib_sm [ib_sm_sweep.c : 393] : IB node <*> : <*> : ad : <*> : <*> : <*> : 6d : ce port <*> is INIT state	-	147
IA32 emulation $Id sys_ia32.c , v 1.32 2002/03/24 <*> : <*> : <*> ak Exp $	-	3
kernel MOSAL(1) : file_pgoff = 0x1a7b1	-	1
ib_sm [ib_sm_bringup.c : 581] : Force port (node = <*> : <*> : 6a : <*> : <*> : <*> : <*> : cf , port = <*> , state = 4) to DOWN because (1) 1st sweep or (2) role change.	-	9
kernel MOSAL(1) : file_pgoff = 0x159df	-	1
kernel MOSAL(1) : file_pgoff = 0xc812	-	2
kernel MOSAL(1) : file_pgoff = 0x12ec6	-	3
postfix/cleanup D4846AC4158 : message-id = <20060408000140.D4846AC4158@tbird-#2124#>	-	1
postfix/cleanup 66228F20126 : message-id = <20060405151942.66228F20126@#56#.#207#>	-	1
postfix/cleanup E9853AC4074 : message-id = <20060508202045.E9853AC4074@tbird-#2124#>	-	1
kernel <*> <*> no floppy controllers found	-	4342
postfix/cleanup 2C404864ABE : message-id = <20060419034304.2C404864ABE@#56#.#207#>	-	1
kernel MOSAL(1) : file_pgoff = 0x2d2f4	-	1
kernel MOSAL(1) : file_pgoff = 0x12f16	-	3
kernel MOSAL(1) : file_pgoff = 0xd058	-	1
RT RT : : Handle = <*> no row id returned on row creation at /usr/lib/perl5/site_perl/5.8.5/DBIx/SearchBuilder/Handle/mysql.pm line 50. (/usr/lib/perl5/site_perl/5.8.5/DBIx/SearchBuilder/Handle/mysql.pm : 50)	-	55
kernel 00000101bb755d98 <*> <*> <*>	-	1
Administrator Instrumentation Service EventID : <*> Redundancy regained Redundancy unit : BMC PS Redundancy Chassis location : Main System Chassis Previous redundancy state was : Lost	-	3
kernel MOSAL(1) : file_pgoff = 0x1a1af	-	1
ib_sm [INFO] : Generate SM <*> trap for GID = <*>	-	352
postfix/cleanup CE7AFF20132 : message-id = <20060408135202.CE7AFF20132@#56#.#207#>	-	1
kernel MOSAL(1) : file_pgoff = 0x12300	-	19
kernel <ffffffffa06a6d59>{ : llite : lustre_init_sbi+94} <ffffffffa06ad1e3>{ : llite : lustre_fill_super+1322}	-	2
kernel MOSAL(1) : file_pgoff = 0x2d00b	-	1
kernel MOSAL(1) : file_pgoff = 0x1ef60	-	1
dhcpd DHCPREQUEST for <*> ( <*> ) from <*> : <*> : <*> : e4 : bf : ab via eth1 : unknown lease <*> .	-	1
kernel MOSAL(1) : file_pgoff = 0x2d849	-	1
postfix/cleanup 51A80F2009F : message-id = <20060703181805.51A80F2009F@#56#.#207#>	-	1
kernel MOSAL(1) : file_pgoff = 0x1a377	-	1
ntpd Listening on interface <*> , <*> <*>	-	26150
postfix/cleanup 337EAF20126 : message-id = <20060424194903.337EAF20126@#56#.#207#>	-	1
kernel MOSAL(1) : file_pgoff = 0x2d4cf	-	2
kernel MOSAL(1) : file_pgoff = 0x1710c	-	1
kernel <*> pages swap cachedu <*> cold : low <*> , high <*> , batch <*>	-	1
postfix/cleanup 75C58F2012E : message-id = <20060619041254.75C58F2012E@#56#.#207#>	-	1
kernel pan_sam : I-xD020038da11df0002-xGf5edfff4-xUb7e010b166634eb1 : error report : failure 1/10 : 0x060039e6122f0002(OBSD) osd_op = OP_WRITE offset = <*> length = <*> error = 0x1d78 (IPS : command timed out)	-	1
CROND (root) CMD (/home/#26#/cisco/crtoolkit/bin/new/cron_smlid)	-	106
postfix/cleanup AC723F200A9 : message-id = <20060416143245.AC723F200A9@#56#.#207#>	-	1
kernel MOSAL(1) : file_pgoff = 0x1d8ce	-	23
postfix/cleanup 95413F20133 : message-id = <20060629204811.95413F20133@#56#.#207#>	-	1
postfix/cleanup B4125F2009C : message-id = <20060707143745.B4125F2009C@#56#.#207#>	-	1
crond (#713#) CMD (echo `df -B <*> | grep <*> `date --iso-8601 = minutes` >> <*>	-	10
audit(1142008813.390:0) <*> <*> <*> <*> avc : denied { write } for pid = <*> comm = ntpdate name = log dev = ram0 ino = <*> scontext = user_u : system_r : ntpd_t tcontext = user_u : object_r : file_t tclass = sock_file	-	1
kernel MOSAL(1) : file_pgoff = 0x104c9	-	2
kernel MOSAL(1) : file_pgoff = 0x1a24d	-	1
postfix/cleanup 4AC54F20126 : message-id = <20060405122805.4AC54F20126@#56#.#207#>	-	1
postfix/cleanup 473BE518288 : message-id = <20060217020129.473BE518288@tbird-#206#>	-	1
postfix/cleanup F0327864ABE : message-id = <20060509233747.F0327864ABE@#56#.#207#>	-	1
Node 0 Normal 682*4kB 61*8kB 21*16kB 1*32kB 0*64kB 0*128kB 0*256kB 0*512kB 0*1024kB 0*2048kB 0*4096kB = 3584kB	-	1
postfix/cleanup E7EA15189E2 : message-id = <20060315155126.E7EA15189E2@tbird-#206#>	-	1
kernel MOSAL(1) : file_pgoff = 0x160b5	-	5
postfix/master warning : process <*> pid <*> exit status <*>	-	261
kernel PCI : Using MMCONFIG at e0000000	-	4348
kernel MOSAL(4) : mnt_projects/sysapps/src/ib/topspin/topspin-src-3.2.0-16/third_party/thca4_linux/kernel/mlxsys/obj_host_amd64_custom1_rhel4/mlxsys/mosal_mlock.c[1226] : MOSAL_mlock_iobuf : Failed <*> <*> <*> <*> <*>	-	5
kernel MOSAL(1) : file_pgoff = 0x1c532	-	51
kernel THH(4) : mnt_projects/sysapps/src/ib/topspin/topspin-src-3.2.0-16/third_party/thca4_linux/kernel/mlxhh/thh/obj_host_amd64_custom1_rhel4/mod_thh/tptm.c[263] : reserve_mtt_segs : Cannot reserve <*> : <*> <*> Out of MTT entries	-	7
postfix/cleanup 06811F2009E : message-id = <20060419134603.06811F2009E@#56#.#207#>	-	1
kernel MOSAL(1) : file_pgoff = 0x1668b	-	4
postfix/cleanup DF4015181D1 : message-id = <20060120125205.DF4015181D1@tbird-#206#>	-	1
postfix/cleanup 5AF12F20098 : message-id = <20060613100210.4B8C2F200A3@#56#.#207#>	-	1
kernel 00000101bcbfe7f0 <*>	-	1
postfix/cleanup 7433E864ABE : message-id = <20060418151305.7433E864ABE@#56#.#207#>	-	1
kernel MOSAL(1) : file_pgoff = 0x170e6	-	1
kernel <ffffffff802aefe0>{neigh_resolve_output+578} <ffffffff802c5c11>{ip_finish_output+356}	-	2
kernel MOSAL(1) : file_pgoff = 0xa63d	-	1
ib_port_util.x.niran [INFO] : response_mad.status = <*>	-	2
kernel MOSAL(1) : file_pgoff = 0x1a2ac	-	1
postfix/cleanup BE687AC4074 : message-id = <20060506101152.BE687AC4074@tbird-#2124#>	-	1
postfix/cleanup 55B9B518A76 : message-id = <20060414022214.55B9B518A76@tbird-#206#>	-	1
postfix/cleanup 9378AF200A2 : message-id = <20060707165750.9378AF200A2@#56#.#207#>	-	1
postfix/cleanup F3080F200A3 : message-id = <20060415161247.F3080F200A3@#56#.#207#>	-	1
fsck [/sbin/fsck.ext3 (1) -- /var] fsck.ext3 -a	-	3
postfix/cleanup EEACB864ABE : message-id = <20060630044753.EEACB864ABE@#56#.#207#>	-	1
kernel MOSAL(1) : file_pgoff = 0x19101	-	1
smartd smartd startup succeeded	-	3851
postfix/cleanup B671B337E1 : message-id = <20060628135514.B671B337E1@tbird-#2402#>	-	1
postfix/cleanup AD49CDE3F8 : message-id = <20060119110212.9C43ADE3F5@#1712#>	-	1
kernel MOSAL(1) : file_pgoff = 0x1e245	-	69
postfix/cleanup 28DE1F20126 : message-id = <20060406074003.252BAF20131@#56#.#207#>	-	1
sendmail k03B4JnA017744 : SYSERR(root) : savemail : cannot save rejected email anywhere	-	1
postfix/cleanup 2DE37864ABE : message-id = <20060418140705.2DE37864ABE@#56#.#207#>	-	1
su <*> : ccache dir : /tmp	-	785
kernel MOSAL(1) : file_pgoff = 0x1f7db	-	2
slot106:10.100.253.131 cme Osa : ADM1024 Error : device <*> reports voltage of Sensor Failure(-1) , target range is <*> - <*> <*>	-	1
kernel MOSAL(1) : file_pgoff = 0x1a7c1	-	1
kernel MOSAL(1) : file_pgoff = 0x2d5bf	-	1
slot101:10.100.253.143 ibstatmon Ism : MAD Send Get Port Info Failed for : Spine <*> (port <*>	-	27
postfix/cleanup D1163864ABF : message-id = <20060414161248.D1163864ABF@#56#.#207#>	-	1
kernel scsi0 : ERROR on channel <*> , id <*> , lun <*> , CDB : Read (10) <*> <*> <*> <*> <*> <*> <*> <*> <*>	-	855
kernel EXT3-fs error (device <*> : ext3_get_inode_loc : unable to read inode block - inode = <*> , block = <*>	EXT_FS	18
sshd <*> : authenticating <*> to 'krbtgt/#24#@#24#'	-	1610
postfix/cleanup 8BB4BF200A6 : message-id = <20060704081744.8BB4BF200A6@#56#.#207#>	-	1
kernel MOSAL(1) : file_pgoff = 0x2d7ad	-	5
kernel MOSAL(1) : file_pgoff = 0x1d6c8	-	2
nfs server nfs1 not responding , still trying	-	75
kernel or addr = 0x129A7000 size = 0xA000	-	1
kernel MOSAL(1) : reft = <*>	-	1
postfix/cleanup 515DB3B8003 : message-id = <20060414000002.515DB3B8003@tbird-#2652#>	-	1
RT Tried to load a bogus asset id : '' (/opt/rt3/local/lib/RTx/AssetTracker/Asset_Overlay.pm : 241)	-	7
postfix/cleanup 6B05DF20098 : message-id = <20060531211003.649CCF200C6@#56#.#207#>	-	1
kernel MOSAL(1) : file_pgoff = 0x1f1b8	-	1
kernel drivers/usb/input/hid-core.c : input irq status -71 received	-	5
kernel MOSAL(1) : file_pgoff = 0x11456	-	1
kernel MOSAL(1) : file_pgoff = 0x113aa	-	1
ib_sm [ib_sm_assign.c : 620] : Failed to set LID to CA = <*> : <*> : ad : <*> : <*> : <*> : <*> : <*> , port = <*>	-	13
postfix/cleanup <*> : message-id = <20051123170450.34733518081@tbird-#206#>	-	1
kernel MOSAL(1) : file_pgoff = 0x2d603	-	4
crond (root) CMD (/projects/tbird/temps/get_temps a)	-	477
kernel MOSAL(1) : file_pgoff = 0x2d34b	-	2
ib_sm.x [ib_sm_discovery.c : <*> : switch lid change , node - GUID = <*> , port = <*> , neighbor (nil) , changing lid from <*> , back to original <*>	-	348
kernel netlog : remote ethernet address <*> : <*> : <*> : <*> : <*> : <*>	-	37
kernel MOSAL(1) : file_pgoff = 0xdee5	-	1
postfix/cleanup D9935F200A3 : message-id = <20060416010744.D9935F200A3@#56#.#207#>	-	1
postfix/cleanup 8FF5BF20098 : message-id = <20060623155834.8FF5BF20098@#56#.#207#>	-	1
